ax (m/s^2),ay (m/s^2),az (m/s^2)
0.522,-4.1165,1.2576
-0.0298,-4.334,1.2927
-0.4188,-4.4797,1.2599
-0.0329,-4.5958,1.2745
-0.8522,-4.2567,1.3621
-0.6248,-3.8367,1.5012
-0.4232,-3.0505,1.4298
0.1569,-1.8866,1.8299
0.5467,-0.497,2.2377
0.6925,1.1274,2.2957
0.8034,2.6267,1.7185
0.2315,4.3622,1.5618
-0.9668,4.7162,-0.0568
-2.0402,4.7599,-1.6911
-2.777,5.3566,-1.5824
-2.8929,6.1613,-1.3287
-1.9979,5.9725,-1.8851
-1.5226,4.2592,-2.2386
-0.6964,2.439,-2.0326
-0.0852,1.5887,-2.2689
1.0305,0.631,-2.5946
1.1925,0.0853,-2.1493
0.9623,0.0252,-1.5564
0.7044,0.0219,-0.8633
0.4909,-0.0137,-0.2353
0.0786,0.1608,0.1766
0.0767,0.0794,0.3982
1.7081,-1.0595,0.4856
-0.0668,0.0006,-0.1693
-0.0311,-0.6233,-0.3844
0.1104,-1.5676,-0.2293
0.4633,-2.6625,0.1794
0.1255,-3.3179,0.1396
-0.1229,-4.0462,-0.118
-0.2197,-4.5472,-0.0635
0.3118,-5.0345,-0.3429
-0.05,-4.9124,-0.3333
0.1594,-4.6392,-0.2073
0.6711,-4.4023,0.0646
0.77,-4.1001,0.1286
0.7477,-3.276,0.5712
0.0979,-2.2778,0.8316
-0.3699,-1.1821,0.6065
0.7296,-0.1228,0.6694
0.9405,0.6829,0.4882
1.1283,1.5646,0.4984
0.6595,2.0968,1.4725
0.4282,2.0184,1.8821
-0.2433,1.6919,1.8649
-0.7702,1.271,1.0221
-0.8266,2.0964,0.0002
-0.5137,4.0957,-0.7425
0.1635,6.5522,-2.4016
0.3378,6.9997,-1.7724
-0.2199,4.3099,-1.4476
-0.7584,1.6756,-1.8576
-1.1516,0.2148,-1.9912
-0.8506,-0.6144,-2.1745
-0.0824,-0.7407,-2.2531
0.9949,-0.0772,-2.3063
1.8036,0.8737,-1.8872
1.8041,1.4813,-1.5227
1.7196,1.1207,-0.5057
-0.0005,1.3539,-0.0799
0.8689,0.2482,0.0515
0.3834,-0.2776,0.1427
-2.9019,-0.1275,0.8947
-1.3043,-1.0813,0.4406
-0.2299,-1.9061,0.4533
0.5547,-2.5401,0.516
0.2119,-3.0622,0.3165
0.2809,-3.5912,0.1612
1.3082,-4.2441,-0.0937
2.1732,-5.0594,0.5608
2.101,-5.5389,0.7727
0.7585,-5.6328,0.328
-0.4873,-4.8223,-0.2101
-1.5087,-3.0638,-0.2092
-1.9302,-1.162,0.5433
-2.3407,0.6493,0.5632
-1.5496,0.8929,0.6726
-1.6386,0.7378,0.1508
-1.4916,1.0644,1.078
-1.1851,1.6519,1.9336
-0.5889,2.2814,2.1553
-0.2444,2.5614,1.9004
-0.5667,2.5428,0.9634
-1.3095,3.1603,-0.5174
-1.6622,5.1091,-1.0937
-0.7901,6.9134,-1.3202
-0.238,7.2717,-1.0905
0.5193,4.3125,-1.2426
-0.2646,2.1363,-1.2029
-0.2585,0.9237,-1.7314
-0.1798,0.0427,-2.2345
-0.1504,-0.2948,-2.2399
0.1264,-0.0773,-1.8482
0.5333,0.1955,-0.9175
0.5501,0.4666,-0.0561
0.5756,0.599,0.5244
0.4801,0.6605,1.0399
0.1464,0.6419,0.9013
0.0438,0.4086,0.3854
0.1386,-0.4231,-0.0387
0.4356,-1.1853,-0.2558
0.2924,-2.3048,-0.2236
0.3644,-3.0996,-0.3015
1.215,-4.3142,-0.0969
0.9155,-5.0547,0.097
0.3544,-5.5039,0.3064
-0.1208,-5.6227,0.5345
-0.4156,-5.6829,0.7321
-0.8609,-5.2003,0.7011
-0.6461,-4.3189,0.5513
0.1534,-3.1559,0.849
0.577,-1.8573,0.9857
1.3497,-0.2062,1.0346
1.5788,1.1567,1.2321
1.6993,2.0193,1.2014
1.4886,2.4609,1.3299
0.8677,2.721,1.4026
0.0436,2.7906,1.278
-0.6974,2.4818,1.3025
-1.1741,1.7648,0.4426
-1.0797,1.3304,-1.1623
-0.6544,2.9082,-1.8064
-0.0558,5.1364,-1.8825
0.4058,7.1388,-2.0357
1.2911,5.7464,-1.8936
0.2225,3.4788,-1.3621
-1.3097,2.1238,-1.0973
-1.8357,1.0139,-1.5343
-1.6152,-0.1335,-1.8309
-0.8197,-1.141,-2.0834
0.0886,-1.4074,-1.894
0.669,-0.9244,-1.1467
0.9779,-0.3633,0.0887
0.5918,0.5254,1.2219
1.0811,0.1934,0.9751
0.6638,-0.1605,1.037
0.3395,-1.1643,0.7847
-0.4144,-2.342,0.6929
-1.4317,-2.972,0.4076
-1.9569,-3.5562,0.178
-0.9029,-4.3928,0.0505
0.0637,-4.6068,0.051
0.9205,-4.6582,0.0308
1.3303,-4.5563,0.0459
1.1195,-4.2917,0.1217
1.0539,-3.9919,0.1039
0.5332,-3.112,0.5372
-0.4353,-1.5686,1.2217
-1.0949,-0.1214,1.8929
-1.5499,1.5408,1.9629
-2.1224,2.5217,1.5043
-2.308,2.543,1.5218
-2.3341,2.1478,2.2915
-2.3111,2.3119,2.7627
-1.9649,2.2502,2.16
-1.5296,2.1409,0.7263
-1.357,3.3677,-0.7686
-0.6596,5.5496,-1.9526
-2.3207,8.1934,-4.3372
0.9065,7.5041,-3.3589
0.8995,4.4377,-3.0827
1.1455,2.809,-3.0488
1.9118,1.7075,-2.3742
2.0018,0.2639,-1.7976
1.1278,-0.6324,-1.4271
0.4603,-0.9945,-0.7528
0.0574,-0.9689,-0.0315
-0.3719,-0.7316,0.5966
-0.8784,-0.379,0.7754
-1.1847,-0.0867,0.5703
-0.8618,-0.1921,0.262
0.1159,-0.1338,-0.2172
0.7387,-0.7986,-0.3521
1.9721,-1.8463,-0.2867
2.5392,-2.6432,-0.0564
2.4552,-3.5379,0.002
2.0321,-4.1948,0.0035
1.1003,-4.5423,0.0496
0.228,-4.8739,0.3464
-0.526,-5.0284,0.6701
-0.7229,-5.0653,0.4622
-0.9722,-4.6737,0.8246
-0.4208,-3.8728,1.2652
0.5353,-3.0896,1.7479
0.8848,-1.9961,1.7102
0.7236,-0.6537,1.3131
0.5592,0.5777,0.9846
0.7492,1.5241,1.0347
0.5753,2.177,1.5709
0.2162,2.4113,1.969
-0.2535,2.5433,2.2198
0.1989,2.2225,2.2086
-0.3332,2.2913,1.4053
-0.6215,3.3836,-0.217
-0.8087,5.0961,-1.6286
-1.0995,6.9533,-2.6876
-0.5384,6.8162,-1.697
-0.4313,4.6687,-1.1664
-0.2074,3.4408,-1.4251
-0.2179,2.5606,-2.1387
-0.2683,0.7919,-3.2328
0.2524,-0.8342,-3.3722
0.5219,-1.7253,-3.2102
0.4139,-1.678,-2.3562
-0.4865,-0.956,-1.353
-0.492,-0.7901,-0.4163
-0.083,-0.4238,0.499
-0.0733,-0.1947,0.765
0.2229,-0.592,0.4271
0.3354,-1.2246,0.5232
0.4418,-2.2719,0.5365
0.2771,-3.4107,0.2188
-1.0623,-3.9731,0.6947
-1.1683,-3.8501,0.4718
-0.3505,-4.494,0.791
-0.3981,-4.4874,0.4954
0.9393,-4.4112,0.2964
1.2928,-4.0643,0.2583
1.3251,-3.454,0.5418
0.5761,-2.6043,0.9467
0.0695,-1.598,1.0603
-0.7578,-0.5261,1.0736
-1.1119,0.4748,1.1081
-0.9828,1.4224,1.0438
-0.9877,2.0982,0.9554
-1.3095,1.1909,0.9351
-1.5864,0.4074,1.6188
-1.459,0.414,2.5425
-1.0266,1.1161,3.1168
-0.7674,1.8066,2.8103
-0.6382,2.1079,1.4803
-0.9358,3.2512,-0.6357
-1.6489,5.6202,-1.4111
-1.9133,8.7729,-1.9199
-1.0523,9.9465,-2.1102
-0.5632,5.4102,-2.6111
-0.9702,2.3252,-1.6182
-0.2214,0.8239,-1.1506
-0.365,-0.0147,-0.7901
-0.7364,-0.5851,-1.0677
-0.8813,-0.6558,-1.1534
-0.6868,-0.3407,-0.6046
-0.5007,-0.1516,-0.0154
-0.1702,-0.2147,0.8119
0.1439,-0.3022,1.4485
0.4566,-0.4662,1.4532
0.7388,-0.6181,1.3313
1.2994,-1.1091,0.6895
0.7509,-1.4353,0.1261
0.8679,-2.3897,0.0781
1.0253,-3.1722,0.042
0.6182,-3.61,0.3432
0.1411,-3.7686,0.3722
-0.4297,-3.888,0.2121
-0.7897,-3.9999,0.2509
-1.5218,-3.9951,0.1425
-2.1853,-3.6519,-0.0233
-1.6997,-3.2851,0.1142
-1.0404,-2.6755,0.093
-0.4775,-1.7148,0.5016
0.7073,-0.9337,0.7681
1.8395,-0.7661,1.1001
2.1911,-0.5896,1.5
2.0787,-0.4889,1.9946
1.4132,-0.149,2.8332
0.789,0.245,3.2262
-0.1529,0.8135,2.8854
-0.8022,1.3064,2.1011
-1.6202,1.8324,2.0099
-2.7338,1.8454,2.1393
-2.0998,0.9588,-0.4465
0.3564,2.2194,-2.2649
1.0675,7.5802,-4.8051
0.8896,10.1051,-4.8418
-1.7422,9.2556,-3.2297
-1.349,4.0737,-2.5503
-1.0254,-0.0639,-1.3495
-2.8162,-2.0357,-0.5462
-4.058,-2.8606,-1.2531
-4.3236,-2.4688,-1.9973
-3.3613,-1.1984,-1.9494
-2.2513,-0.138,-1.2049
-1.412,-0.0012,-0.1419
-1.354,-0.2822,1.0952
-1.2359,-0.5074,1.3012
-3.6282,-0.0326,1.2549
-0.7045,-1.3861,-0.1549
-0.125,-1.9525,-0.6882
-0.4595,-2.2318,-0.7848
-1.5443,-2.0205,-0.8295
-1.9094,-1.9322,-1.1848
-2.0527,-2.0273,-1.2189
-1.7227,-2.4551,-0.5932
-1.2163,-2.9327,-0.2117
-1.0061,-3.2689,0.084
-1.1273,-3.4992,0.0418
-1.7595,-3.3618,0.4845
-3.0063,-3.393,0.8668
-2.0173,-3.0263,0.7664
-1.4733,-2.5415,0.4838
-0.8674,-1.9168,0.2467
-0.1966,-1.4708,0.5208
0.1282,-1.2253,0.9901
0.2294,-0.857,1.4532
-0.4995,-0.1845,1.6221
-0.4271,-0.1722,1.8186
-1.565,0.0975,2.3835
-2.9395,0.2192,3.1003
-3.8234,0.2836,2.9124
-4.2495,0.2761,2.2946
-3.4329,0.054,1.6442
-3.2307,1.5159,1.3253
-2.9077,3.0071,1.6842
-2.4122,3.6964,2.8664
-1.7747,3.142,2.4825
-2.3099,2.2027,-0.8741
-4.625,2.2937,-5.0405
-6.4788,2.9588,-6.3403
-5.6703,1.5981,-5.7286
-3.8304,-0.6217,-4.7435
-2.5558,-1.4735,-3.896
-1.843,-0.9268,-3.0636
-1.5305,0.6037,-2.3716
-1.545,2.1936,-2.5187
-2.5297,3.4144,-3.5238
-3.0242,4.3374,-3.5199
-2.3912,3.832,-3.3071
-0.0602,1.9272,-2.4665
0.5323,0.1514,-1.5555
-0.0065,-0.5653,-0.903
-0.3314,-0.7045,-1.3432
-0.1546,-0.855,-2.0542
-0.1229,-0.5841,-2.5699
2.1673,-1.2796,-1.8737
3.8429,-2.0936,-0.6034
4.6697,-2.872,0.7237
3.8511,-3.5041,1.5099
2.3072,-3.6986,1.9103
0.3035,-3.1762,2.1205
-1.1791,-2.3152,1.6896
-1.4839,-1.2756,1.1116
-1.4123,-0.37,1.1867
-1.0422,-0.2211,1.906
-1.3459,-0.2888,2.32
-1.274,-0.5795,2.7025
-0.9535,-0.4591,2.623
-0.2842,-0.0482,2.4594
0.213,0.5921,2.5977
0.4591,1.375,2.8755
0.4129,2.345,2.9245
-0.1184,3.1589,1.7821
-0.3765,4.0631,0.2518
-0.7056,5.4231,-2.6129
-0.9495,7.397,-4.7497
-1.0877,8.7874,-4.7329
-1.5185,7.774,-4.4354
-2.0707,3.8017,-4.7248
-3.4651,0.5664,-4.1344
-4.4289,-1.6215,-2.1858
-4.2324,-2.4704,0.0281
-2.6216,-1.5921,-0.383
-0.4789,0.1641,-1.0846
1.0988,1.6969,-0.5092
1.7744,2.3008,-0.1583
1.223,1.5723,0.2392
0.7062,-0.1888,0.312
-0.4345,-1.884,0.6517
-1.4966,-3.2265,0.9299
-3.2158,-3.2906,0.1496
-0.8656,-4.829,0.8432
-1.4879,-4.841,0.8328
-1.2986,-4.9181,0.7363
-0.8517,-4.7508,0.6093
-0.3559,-4.2669,0.7579
0.093,-3.0704,0.7579
0.4934,-1.4823,0.1887
0.9091,0.14,-0.118
0.7251,1.2952,0.2733
1.0695,1.3619,0.8991
-0.5858,0.7852,1.7194
-1.5949,0.7094,2.5891
-1.9061,1.0471,2.8582
-2.1202,1.7109,2.5761
-1.5206,2.0246,1.591
-0.8096,2.6073,-1.3518
-1.5185,3.5631,-3.3051
-2.1223,6.7439,-5.0761
-4.3435,11.214,-3.2591
-2.4438,7.4229,-1.9523
-1.0315,2.5097,-2.522
-0.5932,-0.1103,-2.5749
-0.5263,-1.0614,-1.8529
-0.4302,-1.3594,-1.2501
-0.3981,-1.0721,-0.681
-0.8673,0.3325,-0.2043
-0.6422,0.9286,0.3979
-0.4655,1.0647,0.6644
0.0777,0.2571,0.7682
0.1466,-0.9488,0.4538
0.4884,-2.0682,0.0339
1.3029,-3.2556,-0.316
1.3074,-4.0393,-0.5479
0.5361,-4.1048,-0.6737
-0.7509,-4.0628,-0.8514
-1.1053,-3.9976,-0.8395
-1.0969,-4.08,-0.3831
-0.4461,-4.4536,-0.2915
0.6975,-5.1327,-0.5924
1.3534,-5.2136,-0.5837
1.028,-4.5299,-0.5333
1.4357,-4.0175,-0.1174
1.3707,-3.3907,-0.0207
-0.204,-2.3026,-0.0811
-0.8096,-1.5873,0.0702
-1.0237,-0.9525,0.7706
-0.6471,-0.1676,1.7084
-0.1777,0.6569,2.0891
0.7038,1.5764,1.5455
-0.8183,3.1791,0.9916
-1.6521,4.0622,1.0408
-1.9801,3.5534,-1.4868
-2.0037,5.4358,-2.1646
0.8072,8.1359,-2.7423
2.3746,10.9195,-1.1583
3.7623,8.1178,-1.146
1.1814,3.0746,-1.4906
-0.0997,0.6799,-1.505
-0.5719,-0.4516,-1.9474
-0.2803,-0.9569,-2.1182
0.1139,-0.7986,-1.9852
1.3427,-0.357,-1.4442
1.3173,0.0844,-0.5337
1.9295,-0.332,-0.7445
1.3527,-1.008,-0.1778
0.7227,-2.0804,0.1995
0.1914,-2.9645,0.5905
-1.8599,-3.0154,0.3997
-0.1497,-4.2982,0.2422
-1.4749,-4.2272,-0.5008
-1.9546,-3.9978,-0.3457
-1.9941,-3.783,-1.0955
-1.5263,-3.6194,-1.0957
-1.0504,-3.7347,-0.7634
-0.5807,-3.8624,-0.0517
-0.0112,-3.6276,0.5422
-2.1145,-0.7072,-3.4331
-1.7645,-0.2713,-2.693
-0.7481,-0.0232,-1.2783
0.4589,0.1825,-0.411
0.9444,0.1882,0.1196
1.4656,-0.0097,0.1726
1.2265,-0.3274,-0.2345
0.9831,-0.9662,-0.2434
0.2074,-1.2612,-0.1058
-0.5769,-1.3613,0.0072
-0.5125,-1.479,0.0641
-0.5057,-1.687,0.2709
-1.7073,-1.4789,1.0744
-0.1796,-1.9277,0.5744
-0.4693,-1.3883,0.6903
-1.3422,-0.9411,0.7088
-0.8671,-0.9904,0.7714
-0.5769,-0.9909,1.0731
-0.0882,-1.0564,1.0416
-0.6741,-0.9797,0.7854
0.1879,-1.0538,1.0108
0.4964,-1.1521,0.8663
0.0025,-0.7924,0.9818
-0.1603,-0.4461,1.0134
-0.2406,-0.2964,0.9909
-0.2955,-0.3051,0.7344
-0.4725,-0.3697,0.664
-0.4502,-0.4156,1.0791
-0.0913,-0.3319,1.5724
0.211,0.2706,1.9238
0.3227,1.1635,2.2578
0.2119,1.8875,2.3841
-0.6625,2.422,2.3192
-0.9049,2.531,3.0726
-0.5139,1.9925,2.5242
-0.4572,2.0309,2.1003
-0.9838,2.9619,1.3303
-1.6836,4.2075,-0.0015
-2.3687,4.8339,-0.747
-1.5636,4.1787,-0.6719
-1.5433,2.5059,-0.7238
-1.4738,0.9425,-1.3767
-1.1905,-0.1551,-1.6842
-0.8645,-1.0154,-2.0061
-0.3474,-1.2513,-2.4093
0.6843,-0.9409,-2.6984
1.9533,-0.3371,-2.6347
2.3065,0.1321,-1.9197
1.9938,0.1455,-0.7414
1.2536,0.1494,-0.0704
0.3431,-0.0543,-0.2384
-0.28,-0.6166,-0.5286
-0.6526,-1.2931,-0.8044
-0.6411,-1.7087,-0.807
-0.2139,-2.3591,-0.5629
0.2024,-2.4874,-0.108
-0.2426,-2.5768,0.0863
-0.0709,-2.6243,0.0153
0.6506,-2.8516,-0.0093
1.2262,-2.7116,0.1563
1.5583,-2.419,0.2799
1.83,-2.0087,0.2194
0.6171,-1.7259,0.6866
0.2221,-1.5395,0.7374
0.4658,-1.7705,0.8643
0.5741,-1.4941,1.2589
0.8266,-0.9824,1.2112
0.847,-0.4592,0.9113
0.6769,-0.2203,0.7895
0.3718,-0.0755,0.791
0.1417,-0.1364,0.7567
-0.2443,0.1141,0.8796
-0.642,0.9306,0.7873
-1.1375,2.0723,0.9099
-1.2387,3.1105,1.0513
-0.8861,3.838,1.0089
-0.0456,3.2963,1.4722
1.3623,1.7975,2.5213
0.8662,1.7733,2.9737
1.0763,2.2347,3.1333
0.7829,3.8074,1.9477
1.1031,4.0812,-1.2467
1.4434,2.8251,-3.0506
1.5941,0.5662,-3.2152
1.2623,-1.7214,-2.7805
0.0611,-2.6678,-1.9512
-0.9491,-1.9685,-1.0911
-1.74,0.263,-0.7525
-1.5373,2.9614,-1.2446
-0.147,3.9784,-1.404
0.8046,2.9506,-1.997
1.1187,1.1293,-1.4419
1.0758,-0.7672,-0.7613
1.3809,-2.4502,-0.4585
1.0759,-3.7462,0.176
0.2839,-4.2488,0.7551
0.9758,-4.758,0.0739
0.3757,-4.4442,0.1214
-0.4092,-3.8685,-0.0592
-1.6965,-2.7498,-0.2073
-2.4394,-2.0501,0.0401
-2.2815,-1.6243,0.4866
-1.8788,-1.1867,0.6849
-1.2385,-0.9017,0.9921
-0.463,-0.8528,1.1037
-0.139,-0.926,1.0825
-0.061,-0.9532,0.9642
-0.1615,-0.9229,0.9132
-0.2396,-0.7035,0.6612
-0.2384,-0.322,0.4003
-0.1909,0.4487,0.4825
-0.2891,1.3995,1.1172
-0.3461,2.385,1.9125
-0.1954,3.1121,2.4242
-0.0944,3.2209,2.475
-0.3592,2.6125,2.369
-1.0124,2.2287,1.7884
-1.3178,2.8712,1.9145
-1.0468,4.4025,0.7757
-1.4625,5.6414,-2.9196
-2.0832,5.372,-3.8283
-1.1911,2.3433,-3.1249
-0.2368,-0.4521,-1.76
0.4849,-1.5782,-0.8286
1.1041,-1.32,-0.1531
2.0083,-0.305,-0.2822
2.5005,1.007,-1.3034
1.8431,1.8825,-2.4008
0.7635,1.8207,-2.5702
-0.0547,0.4723,-2.0439
-0.1846,-0.8457,-0.9977
0.193,-2.266,-0.3191
0.5328,-3.3467,-0.0894
0.5608,-3.8572,0.0338
0.637,-4.0916,0.0508
0.4346,-4.175,-0.0839
0.36,-4.1951,-0.1239
0.3068,-4.0371,0.0147
0.4786,-3.6964,0.2101
0.7352,-3.137,0.3314
1.0671,-2.4529,0.445
1.2729,-1.8022,0.5239
1.2404,-1.2344,0.5124
1.1762,-0.774,0.7616
0.9873,-0.5587,1.3747
0.4171,-0.1555,1.7094
-0.134,0.2657,1.7194
-0.5294,0.4946,1.4975
-0.5257,0.8456,1.3877
-0.245,1.261,1.4415
-0.2615,2.1723,1.5009
-0.3638,3.2125,1.7776
-0.1687,3.5232,2.0806
1.0188,3.342,1.9414
-0.2153,3.1344,2.4508
1.5437,2.4916,1.7391
0.542,4.3756,0.6961
-1.2979,6.7898,-4.1551
-0.4249,5.7391,-6.1655
0.3139,1.3714,-4.5896
-0.4084,-2.0831,-3.6829
-1.0176,-3.3103,-1.2783
-1.7967,-2.0828,1.0129
-1.366,0.9697,1.1119
0.481,3.8214,-1.5462
1.7163,4.2919,-3.6375
1.6992,2.0202,-2.9617
1.3238,-0.6426,-1.849
0.8861,-2.711,-1.0902
0.3611,-4.1193,-0.1419
0.412,-5.1706,0.5505
-1.7183,-4.4886,0.554
0.9916,-6.4427,0.3787
0.7589,-5.8236,-0.2321
-0.7117,-4.0453,0.0574
-1.4433,-2.823,0.2729
-1.3024,-2.2551,0.7079
-1.2794,-1.6122,1.1641
-0.6472,-1.4436,1.1313
-0.2582,-1.2996,1.1671
0.0298,-1.1268,1.2898
0.1524,-0.5753,1.1929
-0.2647,0.4221,0.9286
-0.5289,1.0757,0.6386
-0.4866,1.4691,0.5601
-0.0608,1.8885,0.5674
0.671,2.2828,1.1121
0.8913,2.904,2.4249
0.7084,3.323,3.6406
-0.2558,3.3874,4.1532
-1.5591,3.0348,3.6552
-2.5716,2.6305,3.1033
-3.5693,2.8124,1.8715
-3.2273,3.9312,-0.3466
-2.9822,6.1109,-5.9945
-2.8123,5.7036,-8.2448
-0.4982,3.301,-5.8996
1.9831,0.2395,-3.3748
3.2307,-0.6588,-1.2649
3.901,-0.0064,1.1401
3.3947,1.2786,2.3505
1.2217,2.5914,0.1012
-0.5341,2.8428,-3.4708
-1.4579,2.1011,-4.3348
-0.8159,-0.3169,-2.6925
-0.2349,-2.4138,-0.7039
0.0177,-4.1384,0.9575
0.4498,-5.485,1.3708
0.4435,-6.1161,1.272
0.3408,-6.2562,0.444
0.2705,-6.2259,0.0025
0.0278,-5.8702,-0.1965
-0.0287,-4.9865,-0.7506
1.693,-4.2594,-0.5607
0.8489,-3.0803,0.4455
1.9127,-2.3839,0.6245
2.3396,-1.2734,0.8026
2.1345,-0.2928,1.0566
1.7436,0.4599,1.5387
1.2165,0.8234,1.5503
0.6063,0.7764,1.4206
0.0652,0.659,1.3907
-0.3446,1.0383,1.1855
-0.6113,1.9711,0.8722
-0.8061,3.8677,0.69
-0.1724,4.6662,0.936
0.8499,4.1847,1.8156
2.2155,2.8728,2.7573
1.3836,3.4699,2.9841
-0.1654,3.8986,2.2749
-1.215,5.4966,-1.4225
-1.0017,5.6034,-6.0061
1.3004,2.1941,-5.4061
-0.1143,-1.4357,-4.3417
-0.9547,-2.9903,-3.0516
-2.3784,-1.6682,-0.4523
-2.92,1.3218,-0.0377
-1.9472,4.057,-0.931
0.5189,4.7233,-1.4804
2.4194,3.255,-1.8282
2.6296,0.2553,-1.8754
2.4929,-2.0571,-1.1675
1.8663,-3.8683,-0.3825
1.4222,-5.2378,0.1011
1.4566,-6.2599,-0.3634
0.2441,-6.8533,-0.2239
0.8702,-6.7328,-0.7025
-0.0372,-5.7878,-0.1737
-0.9862,-4.8204,0.0295
-2.4971,-3.6179,-0.3181
-3.7288,-2.428,0.1505
-3.1011,-1.4284,0.6088
-2.5926,-0.426,1.1034
-1.8897,0.2498,1.433
-1.1221,0.2831,2.1332
-0.4165,0.0461,2.5921
0.253,0.3093,2.2644
0.8405,1.3121,1.3455
1.0994,2.7268,0.6141
1.3537,3.7353,0.5454
2.1162,3.9769,1.155
1.588,3.7615,2.3571
0.4484,3.0016,2.9489
-0.9511,2.3272,3.5081
-2.794,2.0917,2.8797
-3.2796,2.9046,2.1327
-3.0472,4.7412,-2.3726
-2.1605,5.1328,-6.1825
-1.3509,3.3398,-6.1891
-0.4623,1.1998,-4.5617
0.616,0.1498,-2.4974
1.923,0.5716,-0.6918
2.991,1.2434,0.2278
2.5473,2.2059,0.4427
1.2911,2.4531,-1.0223
-0.0136,1.8923,-2.7839
-0.8659,0.4673,-3.0096
-1.0391,-1.5237,-1.9621
-0.8744,-3.2181,-0.2691
-0.5972,-4.4208,0.8105
0.3651,-5.4343,0.9391
0.2358,-5.7068,0.4442
2.4661,-6.2882,-0.2144
0.4799,-5.1822,-0.7301
0.4251,-4.8329,-1.1429
0.8625,-4.6977,-1.0999
0.8524,-4.3856,-0.2511
0.5935,-3.5627,0.6999
1.3699,-3.2272,1.1614
1.8948,-2.2719,1.0758
1.8471,-0.9785,1.0138
1.5243,0.3711,0.901
0.9758,1.5752,0.4776
0.0692,2.3376,0.3171
-0.5141,2.4477,0.8151
-0.4933,2.3725,1.7901
-0.6487,2.8963,2.6026
-0.7827,4.084,2.9843
0.7164,4.0901,3.0141
-0.6114,4.9624,2.798
1.4639,3.4602,1.5524
1.678,3.7483,-0.0467
0.1621,5.1256,-2.1527
-0.6487,5.5375,-5.1548
0.0607,3.0978,-4.5961
-0.487,-0.4422,-3.3731
-1.5709,-2.3987,-2.2508
-2.0612,-1.6959,-0.5394
-2.3624,0.8071,0.1508
-1.8853,3.3015,-0.4674
-0.6831,4.096,-1.6278
0.5538,2.6889,-2.6249
1.5606,0.3858,-2.293
2.19,-1.6748,-1.3291
2.2092,-3.502,-0.2878
1.9492,-4.8999,0.3037
1.703,-5.8234,0.5103
1.1941,-6.2573,0.0623
0.6731,-6.1971,-0.079
-3.3851,-3.3343,-0.3516
-1.1316,-4.8614,-0.1109
-1.1431,-3.9439,0.1985
-3.0038,-2.4221,0.9281
-2.5167,-1.7926,1.328
-2.201,-1.2672,1.4076
-1.8136,-0.8831,1.6756
-1.2011,-0.5404,1.5256
-0.7716,-0.0707,1.2545
-0.508,0.6828,0.744
-0.4085,1.5889,0.3035
-0.1854,2.7297,0.463
0.3932,3.7809,1.447
0.4618,3.917,2.5186
0.0644,3.6083,3.0251
-1.7911,3.1422,3.2733
0.5633,2.1777,3.5473
-0.9944,2.4941,3.0653
-1.2058,3.336,2.151
-1.4908,4.5235,-1.5293
-1.9328,4.7643,-6.7655
-1.537,1.7197,-6.0176
-0.432,0.683,-4.8247
0.5616,0.0755,-2.9679
1.1364,0.3607,-0.9283
1.4652,1.3199,0.1964
1.3642,2.2363,0.3098
0.3069,2.1803,-1.0345
-0.4595,1.0414,-2.5386
-0.5462,-0.5329,-2.5489
-0.6322,-2.233,-1.5565
-0.6691,-3.7016,-0.2256
-0.5888,-5.1618,0.9773
-0.7728,-6.1635,1.0165
-0.3358,-6.5588,0.3561
-0.299,-5.9296,-0.3228
0.3067,-5.142,-0.4847
0.755,-4.319,-0.294
1.1742,-3.5019,0.3609
1.4221,-2.6865,0.7674
1.4158,-1.881,1.2454
1.7402,-1.2489,1.3964
1.7925,-0.282,1.0403
1.4029,0.6807,0.9216
0.6844,1.2172,0.7015
0.2439,1.2343,0.4061
-0.3892,1.4073,0.6312
0.579,1.0117,0.6515
-0.6561,2.2756,2.1739
-0.491,2.9846,2.1809
-0.5557,3.9786,2.2431
0.8136,4.2298,1.9714
0.2363,3.8206,2.7995
1.5599,2.9678,1.6833
2.0306,3.9293,0.3987
-0.0929,5.7183,-3.2917
-0.9703,4.6609,-6.9263
-0.184,0.4953,-6.0219
-3.2025,-1.0046,-3.771
-1.5769,-1.8188,-1.0747
-1.3308,-0.2337,0.9023
-1.0294,2.2252,0.6953
-0.2306,3.8799,0.0839
0.7395,3.6334,-1.1577
0.9621,1.6941,-2.8396
0.9534,-0.6099,-2.9167
1.1683,-2.5822,-1.6011
1.3987,-4.3175,-0.588
0.4564,-5.2953,0.1399
-0.0958,-5.8839,0.5784
0.0173,-6.4292,0.2146
0.2221,-6.2463,-0.2025
-0.9031,-5.0461,-0.0805
-0.7687,-4.1114,0.3398
-2.0966,-2.3884,0.7858
-1.1646,-1.7752,0.6652
-0.7666,-1.0029,1.1159
-0.5626,-0.5699,1.6241
-0.8635,-0.3844,1.7174
-0.7696,-0.0755,1.7161
-0.4974,0.3908,1.6616
-0.3036,1.2263,1.372
-0.4082,2.3991,0.8565
-0.1208,3.3471,0.9283
0.731,3.7482,1.5877
0.6909,3.7981,2.0588
-0.2336,3.1631,2.3104
-0.8958,2.1977,2.6707
-2.0848,2.0289,2.5963
-2.1922,2.9671,1.6423
-1.56,4.5629,-1.9354
-2.019,5.4602,-6.0349
