ax (m/s^2),ay (m/s^2),az (m/s^2)
-1.0831,0.1693,-1.978
-0.701,-0.7154,-1.8921
-0.2048,-0.6315,-1.6848
0.3602,1.0346,-4.1116
2.4321,4.9188,-4.3829
3.4915,11.5482,-5.1224
3.5745,17.0985,-0.235
3.1093,13.0497,5.7054
-1.7281,7.1507,4.3548
-4.0104,4.9084,4.0485
-2.6965,4.5424,4.2761
-2.6473,5.1801,1.1401
-0.8605,4.5618,-1.0092
0.8234,3.0929,-0.6643
2.2219,1.0512,0.2579
3.1437,-1.2379,0.8023
3.6186,-3.3693,1.0131
3.1386,-4.6746,1.1539
2.6415,-5.7169,0.7095
2.0134,-6.7386,-0.6201
1.6256,-6.583,-0.9143
1.4473,-6.3301,-1.1508
1.0735,-5.8662,-1.2682
0.9676,-5.1916,-1.4896
0.849,-4.6566,-1.305
0.6268,-4.4599,-0.4281
0.4676,-4.3125,0.6947
0.8107,-4.2301,1.1927
1.3246,-3.8326,0.7795
1.5386,-3.4166,-0.2837
1.4356,-2.9978,-0.9352
0.9232,-2.88,-0.3234
-0.1131,-2.9037,1.1479
-0.6918,-2.9209,1.7862
-0.737,-2.9039,0.45
-1.0237,-2.7668,-1.7433
-1.7471,-1.8156,-3.6557
-1.7086,0.1187,-4.2557
-1.118,3.6358,-3.7096
-1.1352,9.2728,-0.7163
-0.5515,16.5332,1.3232
0.4141,17.9487,3.2765
-1.1287,12.8693,3.9262
-3.0233,5.8555,3.7355
-1.4458,1.7096,4.683
0.2842,-0.0999,3.8649
2.4038,-0.6178,0.7228
4.219,-0.6951,-0.6573
5.5686,-1.3628,-1.67
5.1045,-2.4737,-2.0672
3.4438,-3.3884,-1.594
1.5354,-4.0384,-1.0313
-0.34,-3.8376,-0.6311
-1.6538,-3.8979,-1.0471
-1.7843,-4.2504,-0.8574
-1.8568,-4.5368,-0.2032
-1.211,-4.5645,-0.5811
0.19,-5.572,-0.8709
-0.8751,-4.6732,0.0886
-0.356,-3.2861,0.7263
-0.2178,-1.9431,-0.4064
-0.3428,-0.6639,-1.7039
-1.4677,0.4255,-0.8159
-3.7558,0.8262,1.1561
-5.4941,0.3137,1.0404
-4.148,-0.8109,-0.3637
-0.7978,-1.0023,-3.0029
2.327,0.6216,-4.2657
4.6228,2.5342,-2.9663
5.1256,4.8797,-0.7464
4.5851,9.5522,-0.0665
3.1576,14.0366,1.3519
0.0106,14.7259,2.4704
-1.9887,8.9725,0.5623
-0.4585,4.6886,1.7346
1.3424,3.5383,2.4631
2.4476,3.3783,1.4738
2.7223,3.1579,1.1155
3.3002,2.0728,0.8188
2.1526,1.0375,0.6536
1.42,-1.2022,0.4888
1.5332,-3.1961,0.3312
1.5416,-4.8233,-0.4738
1.9968,-5.3274,-0.3918
2.1807,-5.7524,-0.4742
2.0591,-6.1415,-0.1274
2.7124,-5.148,0.4156
3.2618,-4.2452,0.2721
